inspection_id,address,latitude,longitude,location,city,state,zip
2356197,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2356655,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2356195,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2355421,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2345874,7037 S Rhodes AVE,41.7666885,-87.6113124,"(41.7666885,-87.6113124)",CHICAGO,IL,60637
2359810,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2355286,13100 S Doty,41.6755502,-87.6017907,"(41.6755502,-87.6017907)",CHICAGO,IL,60827
2362267,853 S ROSELLE RD,42.01113,-88.0799213,"(42.01113,-88.0799213)",SCHAUMBURG,IL,60193
2355480,4619 S Wolcott AVE,41.8096282,-87.6719638,"(41.8096282,-87.6719638)",CHICAGO,IL,60609
2352550,5114 S Elizabeth ST,41.8000688,-87.6565647,"(41.8000688,-87.6565647)",CHICAGO,IL,60609
2350211,5114 S Elizabeth ST,41.8000688,-87.6565647,"(41.8000688,-87.6565647)",CHICAGO,IL,60609
2315301,5255 S State ST,41.7995035,-87.625015,"(41.7995035,-87.625015)",CHICAGO,IL,60609
2315317,7141 S Morgan ST,41.7636974,-87.6486262,"(41.7636974,-87.6486262)",CHICAGO,IL,60621
2312072,5516 S Maplewood AVE,41.7928811,-87.6882064,"(41.7928811,-87.6882064)",CHICAGO,IL,60629
2345633,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2315722,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2315467,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2315463,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2311825,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2311568,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2345431,5415 S Union AVE,41.7957456,-87.641884,"(41.7957456,-87.641884)",CHICAGO,IL,60609
2312360,1010 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2316119,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2312358,1010 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2311665,1010 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2293762,8722 S FAIRFIELD AVE,41.7345688,-87.6912076,"(41.7345688,-87.6912076)",CHICAGO,IL,60805
2294051,950 ESTES CT,42.0027309,-88.1025879,"(42.0027309,-88.1025879)",SCHAUMBURG,IL,60193
2293744,1307 CARDINAL DR,42.1528552,-88.3014802,"(42.1528552,-88.3014802)",ALGONQUIN,IL,60102
2293464,108 W PARK,41.8992927,-87.9405057,"(41.8992927,-87.9405057)",ELMHURST,IL,60126
2304889,150 RIVERSIDE PLZ,41.8825427,-87.638745,"(41.8825427,-87.638745)",CHICAGO,IL,60606
2291200,239 GOLF MILL CENTER STE 322,42.050456,-87.8368115,"(42.050456,-87.8368115)",NILES NILES,IL,60714
2304872,2911 W W 47TH ST,41.8076606,-87.697469,"(41.8076606,-87.697469)",CHICAGO,IL,60632
2291191,951 W WISE RD,42.0043921,-88.1026741,"(42.0043921,-88.1026741)",SCHAUMBURG,IL,60193
2290656,838 W KINZIE ST,41.88913510926819,-87.64905166297672,"(41.88913510926819, -87.64905166297672)",CHICAGO,IL,60642
2279940,3424 S State ST,41.8321532,-87.6272509,"(41.8321532,-87.6272509)",CHICAGO,IL,60616
2282217,3838 W 49TH ST,41.8043798,-87.7204015,"(41.8043798,-87.7204015)",CHICAGO,IL,60632
2288466,2504 173RD ST,41.581144,-87.5565036,"(41.581144,-87.5565036)",LANSING,IL,60438
2288909,1438 W CORTLAND ST,41.916996072966775,-87.6645967198223,"(41.916996072966775, -87.6645967198223)",CHICAGO,IL,60642
2282467,39063 N OGDEN LN,42.4293173,-87.8880914,"(42.4293173,-87.8880914)",WADSWORTH,IL,60083
2290928,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
2288216,1504 N FREMONT ST,41.90871108788052,-87.65119210033504,"(41.90871108788052, -87.65119210033504)",CHICAGO,IL,60642
2289098,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2291154,1625 CHICAGO AVE,42.047065,-87.6789663,"(42.047065,-87.6789663)",EVANSTON,IL,60201
2283079,6011 S Rockwell AVE,41.7840433,-87.6883007,"(41.7840433,-87.6883007)",CHICAGO,IL,60629
2291095,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2290662,838 W KINZIE ST,41.88913510926819,-87.64905166297672,"(41.88913510926819, -87.64905166297672)",CHICAGO,IL,60642
2261602,7104 N MANNHEIM RD,41.9575052,-87.8845199,"(41.9575052,-87.8845199)",ROSEMONT,IL,60018
2181506,22 N WOODLAND TRL,41.6702861,-87.8227837,"(41.6702861,-87.8227837)",PALOS PARK,IL,60464
2181230,8722 S FAIRFIELD AVE,41.7345688,-87.6912076,"(41.7345688,-87.6912076)",CHICAGO,IL,60805
2279377,5630 S Rockwell AVE,41.79098279999999,-87.6895972,"(41.79098279999999,-87.6895972)",CHICAGO,IL,60629
2268849,1744 W Pryor,41.6908645,-87.6629395,"(41.6908645,-87.6629395)",CHICAGO,IL,60643
2268967,6634 W RAVEN ST,41.9946144,-87.7926097,"(41.9946144,-87.7926097)",CHICAGO,IL,60631
2252649,7104 N MANNHEIM RD,41.9575052,-87.8845199,"(41.9575052,-87.8845199)",ROSEMONT,IL,60018
2268696,1744 W Pryor,41.6908645,-87.6629395,"(41.6908645,-87.6629395)",CHICAGO,IL,60643
2268374,4934 S Wabash,41.8046516,-87.6255393,"(41.8046516,-87.6255393)",CHICAGO,IL,60615
2269079,1060 SUSSEX LN,41.8345575,-88.0906129,"(41.8345575,-88.0906129)",WHEATON,IL,60189
2280005,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2269193,5900 N Nina AVE,41.9890858,-87.8026557,"(41.9890858,-87.8026557)",CHICAGO,IL,60631
2261670,2332 S Western,41.849557,-87.68695629999999,"(41.849557,-87.68695629999999)",CHICAGO,IL,60608
2279554,1017 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2252272,6040 N Kilpatrick AVE,41.9912004,-87.7464722,"(41.9912004,-87.7464722)",CHICAGO,IL,60646
